Country,Date,Latitude,Longitude,Deaths,Confirmed,Recovered
Afghanistan,2020-07-01,33.0,65.0,774.0,31836.0,15651.0
Afghanistan,2020-07-02,33.0,65.0,807.0,32022.0,16041.0
Afghanistan,2020-07-03,33.0,65.0,819.0,32324.0,17331.0
Afghanistan,2020-07-04,33.0,65.0,826.0,32672.0,19164.0
Afghanistan,2020-07-05,33.0,65.0,864.0,32951.0,19366.0
Afghanistan,2020-07-06,33.0,65.0,898.0,33190.0,20103.0
Afghanistan,2020-07-07,33.0,65.0,920.0,33384.0,20179.0
Afghanistan,2020-07-08,33.0,65.0,936.0,33594.0,20700.0
Afghanistan,2020-07-09,33.0,65.0,957.0,33908.0,20847.0
Afghanistan,2020-07-10,33.0,65.0,971.0,34194.0,20882.0
Afghanistan,2020-07-11,33.0,65.0,994.0,34366.0,21135.0
Afghanistan,2020-07-12,33.0,65.0,1010.0,34451.0,21216.0
Afghanistan,2020-07-13,33.0,65.0,1012.0,34455.0,21254.0
Afghanistan,2020-07-14,33.0,65.0,1048.0,34740.0,21454.0
Afghanistan,2020-07-15,33.0,65.0,1094.0,34994.0,22456.0
Afghanistan,2020-07-16,33.0,65.0,1113.0,35070.0,22824.0
Afghanistan,2020-07-17,33.0,65.0,1147.0,35229.0,23151.0
Afghanistan,2020-07-18,33.0,65.0,1164.0,35301.0,23273.0
Afghanistan,2020-07-19,33.0,65.0,1181.0,35475.0,23634.0
Afghanistan,2020-07-20,33.0,65.0,1185.0,35526.0,23741.0
Afghanistan,2020-07-21,33.0,65.0,1186.0,35615.0,23741.0
Afghanistan,2020-07-22,33.0,65.0,1190.0,35727.0,23924.0
Afghanistan,2020-07-23,33.0,65.0,1211.0,35928.0,24550.0
Afghanistan,2020-07-24,33.0,65.0,1225.0,35981.0,24602.0
Afghanistan,2020-07-25,33.0,65.0,1248.0,36036.0,24793.0
Afghanistan,2020-07-26,33.0,65.0,1259.0,36157.0,25180.0
Afghanistan,2020-07-27,33.0,65.0,1269.0,36263.0,25198.0
Afghanistan,2020-07-28,33.0,65.0,1270.0,36368.0,25358.0
Afghanistan,2020-07-29,33.0,65.0,1271.0,36471.0,25389.0
Afghanistan,2020-07-30,33.0,65.0,1271.0,36542.0,25471.0
Afghanistan,2020-07-31,33.0,65.0,1272.0,36675.0,25509.0
Afghanistan,2020-08-01,33.0,65.0,1283.0,36710.0,25509.0
Afghanistan,2020-08-02,33.0,65.0,1284.0,36710.0,25510.0
Afghanistan,2020-08-03,33.0,65.0,1288.0,36747.0,25669.0
Afghanistan,2020-08-04,33.0,65.0,1288.0,36782.0,25669.0
Afghanistan,2020-08-05,33.0,65.0,1294.0,36829.0,25742.0
Afghanistan,2020-08-06,33.0,65.0,1298.0,36896.0,25840.0
Afghanistan,2020-08-07,33.0,65.0,1307.0,37015.0,25903.0
Afghanistan,2020-08-08,33.0,65.0,1312.0,37054.0,25960.0
Afghanistan,2020-08-09,33.0,65.0,1312.0,37054.0,25960.0
Afghanistan,2020-08-10,33.0,65.0,1328.0,37162.0,26228.0
Afghanistan,2020-08-11,33.0,65.0,1344.0,37269.0,26415.0
Afghanistan,2020-08-12,33.0,65.0,1354.0,37345.0,26694.0
Afghanistan,2020-08-13,33.0,65.0,1363.0,37424.0,26714.0
Afghanistan,2020-08-14,33.0,65.0,1363.0,37431.0,26714.0
Afghanistan,2020-08-15,33.0,65.0,1370.0,37551.0,27166.0
Afghanistan,2020-08-16,33.0,65.0,1375.0,37596.0,27166.0
Afghanistan,2020-08-17,33.0,65.0,1375.0,37599.0,27166.0
Afghanistan,2020-08-18,33.0,65.0,1375.0,37599.0,27166.0
Afghanistan,2020-08-19,33.0,65.0,1375.0,37599.0,27166.0
Afghanistan,2020-08-20,33.0,65.0,1385.0,37856.0,27681.0
Afghanistan,2020-08-21,33.0,65.0,1385.0,37894.0,28016.0
Afghanistan,2020-08-22,33.0,65.0,1385.0,37953.0,28016.0
Afghanistan,2020-08-23,33.0,65.0,1387.0,37999.0,28180.0
Afghanistan,2020-08-24,33.0,65.0,1389.0,38054.0,28360.0
Afghanistan,2020-08-25,33.0,65.0,1397.0,38070.0,28440.0
Afghanistan,2020-08-26,33.0,65.0,1401.0,38113.0,29042.0
Afghanistan,2020-08-27,33.0,65.0,1401.0,38129.0,29046.0
Afghanistan,2020-08-28,33.0,65.0,1402.0,38140.0,29059.0
Afghanistan,2020-08-29,33.0,65.0,1402.0,38143.0,29063.0
Afghanistan,2020-08-30,33.0,65.0,1402.0,38162.0,29089.0
Afghanistan,2020-08-31,33.0,65.0,1402.0,38165.0,29089.0
Afghanistan,2020-09-01,33.0,65.0,1406.0,38196.0,29231.0
Afghanistan,2020-09-02,33.0,65.0,1409.0,38243.0,29315.0
Afghanistan,2020-09-03,33.0,65.0,1409.0,38288.0,29390.0
Afghanistan,2020-09-04,33.0,65.0,1409.0,38304.0,29713.0
Afghanistan,2020-09-05,33.0,65.0,1409.0,38324.0,30082.0
Afghanistan,2020-09-06,33.0,65.0,1412.0,38398.0,30537.0
Afghanistan,2020-09-07,33.0,65.0,1415.0,38494.0,30557.0
Afghanistan,2020-09-08,33.0,65.0,1418.0,38520.0,30715.0
Afghanistan,2020-09-09,33.0,65.0,1420.0,38544.0,31048.0
Afghanistan,2020-09-10,33.0,65.0,1420.0,38572.0,31129.0
Afghanistan,2020-09-11,33.0,65.0,1420.0,38606.0,31154.0
Afghanistan,2020-09-12,33.0,65.0,1420.0,38641.0,31234.0
Afghanistan,2020-09-13,33.0,65.0,1420.0,38716.0,31638.0
Afghanistan,2020-09-14,33.0,65.0,1425.0,38772.0,32073.0
Afghanistan,2020-09-15,33.0,65.0,1426.0,38815.0,32098.0
Afghanistan,2020-09-16,33.0,65.0,1436.0,38855.0,32503.0
Afghanistan,2020-09-17,33.0,65.0,1436.0,38872.0,32505.0
Afghanistan,2020-09-18,33.0,65.0,1437.0,38883.0,32576.0
Afghanistan,2020-09-19,33.0,65.0,1437.0,38919.0,32576.0
Afghanistan,2020-09-20,33.0,65.0,1441.0,39044.0,32576.0
Afghanistan,2020-09-21,33.0,65.0,1444.0,39074.0,32576.0
Afghanistan,2020-09-22,33.0,65.0,1445.0,39096.0,32576.0
Afghanistan,2020-09-23,33.0,65.0,1446.0,39145.0,32610.0
Afghanistan,2020-09-24,33.0,65.0,1451.0,39170.0,32619.0
Afghanistan,2020-09-25,33.0,65.0,1451.0,39186.0,32619.0
Afghanistan,2020-09-26,33.0,65.0,1453.0,39192.0,32635.0
Afghanistan,2020-09-27,33.0,65.0,1453.0,39227.0,32642.0
Afghanistan,2020-09-28,33.0,65.0,1455.0,39233.0,32642.0
Afghanistan,2020-09-29,33.0,65.0,1458.0,39254.0,32746.0
Afghanistan,2020-09-30,33.0,65.0,1458.0,39268.0,32789.0
Afghanistan,2020-10-01,33.0,65.0,1458.0,39285.0,32842.0
Afghanistan,2020-10-02,33.0,65.0,1458.0,39290.0,32842.0
Afghanistan,2020-10-03,33.0,65.0,1462.0,39297.0,32842.0
Afghanistan,2020-10-04,33.0,65.0,1462.0,39341.0,32852.0
Afghanistan,2020-10-05,33.0,65.0,1466.0,39422.0,32879.0
Afghanistan,2020-10-06,33.0,65.0,1467.0,39486.0,32977.0
Albania,2020-07-01,41.0,20.0,65.0,2580.0,1516.0
Albania,2020-07-02,41.0,20.0,69.0,2662.0,1559.0
Albania,2020-07-03,41.0,20.0,72.0,2752.0,1592.0
Albania,2020-07-04,41.0,20.0,74.0,2819.0,1637.0
Albania,2020-07-05,41.0,20.0,76.0,2893.0,1657.0
Albania,2020-07-06,41.0,20.0,79.0,2964.0,1702.0
Albania,2020-07-07,41.0,20.0,81.0,3038.0,1744.0
Albania,2020-07-08,41.0,20.0,83.0,3106.0,1791.0
Albania,2020-07-09,41.0,20.0,83.0,3188.0,1832.0
Albania,2020-07-10,41.0,20.0,85.0,3278.0,1875.0
Albania,2020-07-11,41.0,20.0,89.0,3371.0,1881.0
Albania,2020-07-12,41.0,20.0,93.0,3454.0,1946.0
Albania,2020-07-13,41.0,20.0,95.0,3571.0,2014.0
Albania,2020-07-14,41.0,20.0,97.0,3667.0,2062.0
Albania,2020-07-15,41.0,20.0,101.0,3752.0,2091.0
Albania,2020-07-16,41.0,20.0,104.0,3851.0,2137.0
Albania,2020-07-17,41.0,20.0,107.0,3906.0,2214.0
Albania,2020-07-18,41.0,20.0,111.0,4008.0,2264.0
Albania,2020-07-19,41.0,20.0,112.0,4090.0,2311.0
Albania,2020-07-20,41.0,20.0,113.0,4171.0,2352.0
Albania,2020-07-21,41.0,20.0,117.0,4290.0,2397.0
Albania,2020-07-22,41.0,20.0,120.0,4358.0,2463.0
Albania,2020-07-23,41.0,20.0,123.0,4466.0,2523.0
Albania,2020-07-24,41.0,20.0,128.0,4570.0,2608.0
Albania,2020-07-25,41.0,20.0,134.0,4637.0,2637.0
Albania,2020-07-26,41.0,20.0,138.0,4763.0,2682.0
Albania,2020-07-27,41.0,20.0,144.0,4880.0,2745.0
Albania,2020-07-28,41.0,20.0,148.0,4997.0,2789.0
Albania,2020-07-29,41.0,20.0,150.0,5105.0,2830.0
Albania,2020-07-30,41.0,20.0,154.0,5197.0,2883.0
Albania,2020-07-31,41.0,20.0,157.0,5276.0,2952.0
Albania,2020-08-01,41.0,20.0,161.0,5396.0,2961.0
Albania,2020-08-02,41.0,20.0,166.0,5519.0,3018.0
Albania,2020-08-03,41.0,20.0,172.0,5620.0,3031.0
Albania,2020-08-04,41.0,20.0,176.0,5750.0,3031.0
Albania,2020-08-05,41.0,20.0,182.0,5889.0,3123.0
Albania,2020-08-06,41.0,20.0,188.0,6016.0,3155.0
Albania,2020-08-07,41.0,20.0,189.0,6151.0,3227.0
Albania,2020-08-08,41.0,20.0,193.0,6275.0,3268.0
Albania,2020-08-09,41.0,20.0,199.0,6411.0,3342.0
Albania,2020-08-10,41.0,20.0,200.0,6536.0,3379.0
Albania,2020-08-11,41.0,20.0,205.0,6676.0,3480.0
Albania,2020-08-12,41.0,20.0,208.0,6817.0,3552.0
Albania,2020-08-13,41.0,20.0,213.0,6971.0,3616.0
Albania,2020-08-14,41.0,20.0,219.0,7117.0,3695.0
Albania,2020-08-15,41.0,20.0,225.0,7260.0,3746.0
Albania,2020-08-16,41.0,20.0,228.0,7380.0,3794.0
Albania,2020-08-17,41.0,20.0,230.0,7499.0,3816.0
Albania,2020-08-18,41.0,20.0,232.0,7654.0,3871.0
Albania,2020-08-19,41.0,20.0,234.0,7812.0,3928.0
Albania,2020-08-20,41.0,20.0,238.0,7967.0,3986.0
Albania,2020-08-21,41.0,20.0,240.0,8119.0,4096.0
Albania,2020-08-22,41.0,20.0,245.0,8275.0,4184.0
Albania,2020-08-23,41.0,20.0,250.0,8427.0,4332.0
Albania,2020-08-24,41.0,20.0,254.0,8605.0,4413.0
Albania,2020-08-25,41.0,20.0,259.0,8759.0,4530.0
Albania,2020-08-26,41.0,20.0,263.0,8927.0,4633.0
Albania,2020-08-27,41.0,20.0,266.0,9083.0,4791.0
Albania,2020-08-28,41.0,20.0,271.0,9195.0,4923.0
Albania,2020-08-29,41.0,20.0,275.0,9279.0,5020.0
Albania,2020-08-30,41.0,20.0,280.0,9380.0,5139.0
Albania,2020-08-31,41.0,20.0,284.0,9513.0,5214.0
Albania,2020-09-01,41.0,20.0,290.0,9606.0,5441.0
Albania,2020-09-02,41.0,20.0,296.0,9728.0,5582.0
Albania,2020-09-03,41.0,20.0,301.0,9844.0,5732.0
Albania,2020-09-04,41.0,20.0,306.0,9967.0,5882.0
Albania,2020-09-05,41.0,20.0,312.0,10102.0,5976.0
Albania,2020-09-06,41.0,20.0,316.0,10255.0,6106.0
Albania,2020-09-07,41.0,20.0,319.0,10406.0,6186.0
Albania,2020-09-08,41.0,20.0,321.0,10553.0,6239.0
Albania,2020-09-09,41.0,20.0,322.0,10704.0,6284.0
Albania,2020-09-10,41.0,20.0,324.0,10860.0,6346.0
Albania,2020-09-11,41.0,20.0,327.0,11021.0,6443.0
Albania,2020-09-12,41.0,20.0,330.0,11185.0,6494.0
Albania,2020-09-13,41.0,20.0,334.0,11353.0,6569.0
Albania,2020-09-14,41.0,20.0,338.0,11520.0,6615.0
Albania,2020-09-15,41.0,20.0,340.0,11672.0,6668.0
Albania,2020-09-16,41.0,20.0,343.0,11816.0,6733.0
Albania,2020-09-17,41.0,20.0,347.0,11948.0,6788.0
Albania,2020-09-18,41.0,20.0,353.0,12073.0,6831.0
Albania,2020-09-19,41.0,20.0,358.0,12226.0,6888.0
Albania,2020-09-20,41.0,20.0,362.0,12385.0,6940.0
Albania,2020-09-21,41.0,20.0,364.0,12535.0,6995.0
Albania,2020-09-22,41.0,20.0,367.0,12666.0,7042.0
Albania,2020-09-23,41.0,20.0,370.0,12787.0,7139.0
Albania,2020-09-24,41.0,20.0,370.0,12921.0,7239.0
Albania,2020-09-25,41.0,20.0,373.0,13045.0,7309.0
Albania,2020-09-26,41.0,20.0,375.0,13153.0,7397.0
Albania,2020-09-27,41.0,20.0,377.0,13259.0,7397.0
Albania,2020-09-28,41.0,20.0,380.0,13391.0,7629.0
Albania,2020-09-29,41.0,20.0,384.0,13518.0,7732.0
Albania,2020-09-30,41.0,20.0,387.0,13649.0,7847.0
Albania,2020-10-01,41.0,20.0,388.0,13806.0,8077.0
Albania,2020-10-02,41.0,20.0,389.0,13965.0,8342.0
Albania,2020-10-03,41.0,20.0,392.0,14117.0,8536.0
Albania,2020-10-04,41.0,20.0,396.0,14266.0,8675.0
Albania,2020-10-05,41.0,20.0,400.0,14410.0,8825.0
Albania,2020-10-06,41.0,20.0,403.0,14568.0,8965.0
Algeria,2020-07-01,28.0,3.0,920.0,14272.0,10040.0
Algeria,2020-07-02,28.0,3.0,928.0,14657.0,10342.0
Algeria,2020-07-03,28.0,3.0,937.0,15070.0,10832.0
Algeria,2020-07-04,28.0,3.0,946.0,15500.0,11181.0
Algeria,2020-07-05,28.0,3.0,952.0,15941.0,11492.0
Algeria,2020-07-06,28.0,3.0,959.0,16404.0,11884.0
Algeria,2020-07-07,28.0,3.0,968.0,16879.0,12094.0
Algeria,2020-07-08,28.0,3.0,978.0,17348.0,12329.0
Algeria,2020-07-09,28.0,3.0,988.0,17808.0,12637.0
Algeria,2020-07-10,28.0,3.0,996.0,18242.0,13124.0
Algeria,2020-07-11,28.0,3.0,1004.0,18712.0,13124.0
Algeria,2020-07-12,28.0,3.0,1011.0,19195.0,13743.0
Algeria,2020-07-13,28.0,3.0,1018.0,19689.0,14019.0
Algeria,2020-07-14,28.0,3.0,1028.0,20216.0,14295.0
Algeria,2020-07-15,28.0,3.0,1040.0,20770.0,14792.0
Algeria,2020-07-16,28.0,3.0,1052.0,21355.0,15107.0
Algeria,2020-07-17,28.0,3.0,1057.0,21948.0,15430.0
Algeria,2020-07-18,28.0,3.0,1068.0,22549.0,15744.0
Algeria,2020-07-19,28.0,3.0,1078.0,23084.0,16051.0
Algeria,2020-07-20,28.0,3.0,1087.0,23691.0,16400.0
Algeria,2020-07-21,28.0,3.0,1100.0,24278.0,16646.0
Algeria,2020-07-22,28.0,3.0,1111.0,24872.0,16983.0
Algeria,2020-07-23,28.0,3.0,1124.0,25484.0,17369.0
Algeria,2020-07-24,28.0,3.0,1136.0,26159.0,17369.0
Algeria,2020-07-25,28.0,3.0,1146.0,26764.0,18076.0
Algeria,2020-07-26,28.0,3.0,1155.0,27357.0,18088.0
Algeria,2020-07-27,28.0,3.0,1163.0,27973.0,18837.0
Algeria,2020-07-28,28.0,3.0,1174.0,28615.0,19233.0
Algeria,2020-07-29,28.0,3.0,1186.0,29229.0,19592.0
Algeria,2020-07-30,28.0,3.0,1200.0,29831.0,20082.0
Algeria,2020-07-31,28.0,3.0,1210.0,30394.0,20537.0
Algeria,2020-08-01,28.0,3.0,1223.0,30950.0,20988.0
Algeria,2020-08-02,28.0,3.0,1231.0,31465.0,21419.0
Algeria,2020-08-03,28.0,3.0,1239.0,31972.0,21901.0
Algeria,2020-08-04,28.0,3.0,1248.0,32504.0,22375.0
Algeria,2020-08-05,28.0,3.0,1261.0,33055.0,22802.0
Algeria,2020-08-06,28.0,3.0,1273.0,33626.0,23238.0
Algeria,2020-08-07,28.0,3.0,1282.0,34155.0,23667.0
Algeria,2020-08-08,28.0,3.0,1293.0,34693.0,24083.0
Algeria,2020-08-09,28.0,3.0,1302.0,35160.0,24506.0
Algeria,2020-08-10,28.0,3.0,1312.0,35712.0,24920.0
Algeria,2020-08-11,28.0,3.0,1322.0,36204.0,25263.0
Algeria,2020-08-12,28.0,3.0,1333.0,36699.0,25627.0
Algeria,2020-08-13,28.0,3.0,1341.0,37187.0,26004.0
Algeria,2020-08-14,28.0,3.0,1351.0,37664.0,26308.0
Algeria,2020-08-15,28.0,3.0,1360.0,38133.0,26644.0
Algeria,2020-08-16,28.0,3.0,1370.0,38583.0,27017.0
Algeria,2020-08-17,28.0,3.0,1379.0,39025.0,27347.0
Algeria,2020-08-18,28.0,3.0,1391.0,39444.0,27653.0
Algeria,2020-08-19,28.0,3.0,1402.0,39847.0,27971.0
Algeria,2020-08-20,28.0,3.0,1411.0,40258.0,28281.0
Algeria,2020-08-21,28.0,3.0,1418.0,40667.0,28587.0
Algeria,2020-08-22,28.0,3.0,1424.0,41068.0,28874.0
Algeria,2020-08-23,28.0,3.0,1435.0,41460.0,29142.0
Algeria,2020-08-24,28.0,3.0,1446.0,41858.0,29369.0
Algeria,2020-08-25,28.0,3.0,1456.0,42228.0,29587.0
Algeria,2020-08-26,28.0,3.0,1465.0,42619.0,29886.0
Algeria,2020-08-27,28.0,3.0,1475.0,43016.0,30157.0
Algeria,2020-08-28,28.0,3.0,1483.0,43403.0,30436.0
Algeria,2020-08-29,28.0,3.0,1491.0,43781.0,30717.0
Algeria,2020-08-30,28.0,3.0,1501.0,44146.0,30978.0
Algeria,2020-08-31,28.0,3.0,1510.0,44494.0,31244.0
Algeria,2020-09-01,28.0,3.0,1518.0,44833.0,31493.0
Algeria,2020-09-02,28.0,3.0,1523.0,45158.0,31746.0
Algeria,2020-09-03,28.0,3.0,1529.0,45469.0,32006.0
Algeria,2020-09-04,28.0,3.0,1539.0,45773.0,32259.0
Algeria,2020-09-05,28.0,3.0,1549.0,46071.0,32481.0
Algeria,2020-09-06,28.0,3.0,1556.0,46364.0,32745.0
Algeria,2020-09-07,28.0,3.0,1562.0,46653.0,32985.0
Algeria,2020-09-08,28.0,3.0,1571.0,46938.0,33183.0
Algeria,2020-09-09,28.0,3.0,1581.0,47216.0,33379.0
Algeria,2020-09-10,28.0,3.0,1591.0,47488.0,33562.0
Algeria,2020-09-11,28.0,3.0,1599.0,47752.0,33723.0
Algeria,2020-09-12,28.0,3.0,1605.0,48007.0,33875.0
Algeria,2020-09-13,28.0,3.0,1612.0,48254.0,34037.0
Algeria,2020-09-14,28.0,3.0,1620.0,48496.0,34204.0
Algeria,2020-09-15,28.0,3.0,1632.0,48734.0,34385.0
Algeria,2020-09-16,28.0,3.0,1645.0,48966.0,34517.0
Algeria,2020-09-17,28.0,3.0,1654.0,49194.0,34675.0
Algeria,2020-09-18,28.0,3.0,1659.0,49413.0,34818.0
Algeria,2020-09-19,28.0,3.0,1665.0,49623.0,34923.0
Algeria,2020-09-20,28.0,3.0,1672.0,49826.0,35047.0
Algeria,2020-09-21,28.0,3.0,1679.0,50023.0,35180.0
Algeria,2020-09-22,28.0,3.0,1689.0,50214.0,35307.0
Algeria,2020-09-23,28.0,3.0,1698.0,50400.0,35428.0
Algeria,2020-09-24,28.0,3.0,1703.0,50579.0,35544.0
Algeria,2020-09-25,28.0,3.0,1707.0,50754.0,35654.0
Algeria,2020-09-26,28.0,3.0,1711.0,50914.0,35756.0
Algeria,2020-09-27,28.0,3.0,1714.0,51067.0,35860.0
Algeria,2020-09-28,28.0,3.0,1719.0,51213.0,35962.0
Algeria,2020-09-29,28.0,3.0,1726.0,51368.0,36063.0
Algeria,2020-09-30,28.0,3.0,1736.0,51530.0,36174.0
Algeria,2020-10-01,28.0,3.0,1741.0,51690.0,36282.0
Algeria,2020-10-02,28.0,3.0,1749.0,51847.0,36385.0
Algeria,2020-10-03,28.0,3.0,1756.0,51995.0,36482.0
Algeria,2020-10-04,28.0,3.0,1760.0,52136.0,36578.0
Algeria,2020-10-05,28.0,3.0,1768.0,52270.0,36672.0
Algeria,2020-10-06,28.0,3.0,1768.0,52399.0,36763.0
Andorra,2020-07-01,42.5,1.5,52.0,855.0,799.0
Andorra,2020-07-02,42.5,1.5,52.0,855.0,800.0
Andorra,2020-07-03,42.5,1.5,52.0,855.0,800.0
Andorra,2020-07-04,42.5,1.5,52.0,855.0,800.0
Andorra,2020-07-05,42.5,1.5,52.0,855.0,800.0
Andorra,2020-07-06,42.5,1.5,52.0,855.0,800.0
Andorra,2020-07-07,42.5,1.5,52.0,855.0,800.0
Andorra,2020-07-08,42.5,1.5,52.0,855.0,802.0
Andorra,2020-07-09,42.5,1.5,52.0,855.0,802.0
Andorra,2020-07-10,42.5,1.5,52.0,855.0,803.0
Andorra,2020-07-11,42.5,1.5,52.0,855.0,803.0
Andorra,2020-07-12,42.5,1.5,52.0,855.0,803.0
Andorra,2020-07-13,42.5,1.5,52.0,858.0,803.0
Andorra,2020-07-14,42.5,1.5,52.0,861.0,803.0
Andorra,2020-07-15,42.5,1.5,52.0,862.0,803.0
Andorra,2020-07-16,42.5,1.5,52.0,877.0,803.0
Andorra,2020-07-17,42.5,1.5,52.0,880.0,803.0
Andorra,2020-07-18,42.5,1.5,52.0,880.0,803.0
Andorra,2020-07-19,42.5,1.5,52.0,880.0,803.0
Andorra,2020-07-20,42.5,1.5,52.0,884.0,803.0
Andorra,2020-07-21,42.5,1.5,52.0,884.0,803.0
Andorra,2020-07-22,42.5,1.5,52.0,889.0,803.0
Andorra,2020-07-23,42.5,1.5,52.0,889.0,803.0
Andorra,2020-07-24,42.5,1.5,52.0,897.0,803.0
Andorra,2020-07-25,42.5,1.5,52.0,897.0,803.0
Andorra,2020-07-26,42.5,1.5,52.0,897.0,803.0
Andorra,2020-07-27,42.5,1.5,52.0,907.0,803.0
Andorra,2020-07-28,42.5,1.5,52.0,907.0,803.0
Andorra,2020-07-29,42.5,1.5,52.0,918.0,804.0
Andorra,2020-07-30,42.5,1.5,52.0,922.0,806.0
Andorra,2020-07-31,42.5,1.5,52.0,925.0,807.0
Andorra,2020-08-01,42.5,1.5,52.0,925.0,807.0
Andorra,2020-08-02,42.5,1.5,52.0,925.0,807.0
Andorra,2020-08-03,42.5,1.5,52.0,937.0,821.0
Andorra,2020-08-04,42.5,1.5,52.0,939.0,825.0
Andorra,2020-08-05,42.5,1.5,52.0,939.0,825.0
Andorra,2020-08-06,42.5,1.5,52.0,944.0,828.0
Andorra,2020-08-07,42.5,1.5,52.0,955.0,839.0
Andorra,2020-08-08,42.5,1.5,52.0,955.0,839.0
Andorra,2020-08-09,42.5,1.5,52.0,955.0,839.0
Andorra,2020-08-10,42.5,1.5,52.0,963.0,839.0
Andorra,2020-08-11,42.5,1.5,52.0,963.0,839.0
Andorra,2020-08-12,42.5,1.5,53.0,977.0,855.0
Andorra,2020-08-13,42.5,1.5,53.0,981.0,858.0
Andorra,2020-08-14,42.5,1.5,53.0,989.0,863.0
Andorra,2020-08-15,42.5,1.5,53.0,989.0,863.0
Andorra,2020-08-16,42.5,1.5,53.0,989.0,863.0
Andorra,2020-08-17,42.5,1.5,53.0,1005.0,869.0
Andorra,2020-08-18,42.5,1.5,53.0,1005.0,869.0
Andorra,2020-08-19,42.5,1.5,53.0,1024.0,875.0
Andorra,2020-08-20,42.5,1.5,53.0,1024.0,875.0
Andorra,2020-08-21,42.5,1.5,53.0,1045.0,875.0
Andorra,2020-08-22,42.5,1.5,53.0,1045.0,875.0
Andorra,2020-08-23,42.5,1.5,53.0,1045.0,875.0
Andorra,2020-08-24,42.5,1.5,53.0,1060.0,877.0
Andorra,2020-08-25,42.5,1.5,53.0,1060.0,877.0
Andorra,2020-08-26,42.5,1.5,53.0,1098.0,893.0
Andorra,2020-08-27,42.5,1.5,53.0,1098.0,893.0
Andorra,2020-08-28,42.5,1.5,53.0,1124.0,902.0
Andorra,2020-08-29,42.5,1.5,53.0,1124.0,902.0
Andorra,2020-08-30,42.5,1.5,53.0,1124.0,902.0
Andorra,2020-08-31,42.5,1.5,53.0,1176.0,908.0
Andorra,2020-09-01,42.5,1.5,53.0,1184.0,908.0
Andorra,2020-09-02,42.5,1.5,53.0,1199.0,909.0
Andorra,2020-09-03,42.5,1.5,53.0,1199.0,909.0
Andorra,2020-09-04,42.5,1.5,53.0,1215.0,928.0
Andorra,2020-09-05,42.5,1.5,53.0,1215.0,928.0
Andorra,2020-09-06,42.5,1.5,53.0,1215.0,928.0
Andorra,2020-09-07,42.5,1.5,53.0,1261.0,934.0
Andorra,2020-09-08,42.5,1.5,53.0,1261.0,934.0
Andorra,2020-09-09,42.5,1.5,53.0,1301.0,938.0
Andorra,2020-09-10,42.5,1.5,53.0,1301.0,938.0
Andorra,2020-09-11,42.5,1.5,53.0,1344.0,943.0
Andorra,2020-09-12,42.5,1.5,53.0,1344.0,943.0
Andorra,2020-09-13,42.5,1.5,53.0,1344.0,943.0
Andorra,2020-09-14,42.5,1.5,53.0,1438.0,945.0
Andorra,2020-09-15,42.5,1.5,53.0,1438.0,945.0
Andorra,2020-09-16,42.5,1.5,53.0,1483.0,1054.0
Andorra,2020-09-17,42.5,1.5,53.0,1483.0,1054.0
Andorra,2020-09-18,42.5,1.5,53.0,1564.0,1164.0
Andorra,2020-09-19,42.5,1.5,53.0,1564.0,1164.0
Andorra,2020-09-20,42.5,1.5,53.0,1564.0,1164.0
Andorra,2020-09-21,42.5,1.5,53.0,1681.0,1199.0
Andorra,2020-09-22,42.5,1.5,53.0,1681.0,1199.0
Andorra,2020-09-23,42.5,1.5,53.0,1753.0,1203.0
Andorra,2020-09-24,42.5,1.5,53.0,1753.0,1203.0
Andorra,2020-09-25,42.5,1.5,53.0,1836.0,1263.0
Andorra,2020-09-26,42.5,1.5,53.0,1836.0,1263.0
Andorra,2020-09-27,42.5,1.5,53.0,1836.0,1263.0
Andorra,2020-09-28,42.5,1.5,53.0,1966.0,1265.0
Andorra,2020-09-29,42.5,1.5,53.0,1966.0,1265.0
Andorra,2020-09-30,42.5,1.5,53.0,2050.0,1432.0
Andorra,2020-10-01,42.5,1.5,53.0,2050.0,1432.0
Andorra,2020-10-02,42.5,1.5,53.0,2110.0,1540.0
Andorra,2020-10-03,42.5,1.5,53.0,2110.0,1540.0
Andorra,2020-10-04,42.5,1.5,53.0,2110.0,1540.0
Andorra,2020-10-05,42.5,1.5,53.0,2370.0,1615.0
Andorra,2020-10-06,42.5,1.5,53.0,2370.0,1615.0
Angola,2020-07-01,-12.5,18.5,15.0,291.0,97.0
Angola,2020-07-02,-12.5,18.5,17.0,315.0,97.0
Angola,2020-07-03,-12.5,18.5,18.0,328.0,107.0
Angola,2020-07-04,-12.5,18.5,19.0,346.0,108.0
Angola,2020-07-05,-12.5,18.5,19.0,346.0,108.0
Angola,2020-07-06,-12.5,18.5,19.0,346.0,108.0
Angola,2020-07-07,-12.5,18.5,21.0,386.0,117.0
Angola,2020-07-08,-12.5,18.5,21.0,386.0,117.0
Angola,2020-07-09,-12.5,18.5,22.0,396.0,117.0
Angola,2020-07-10,-12.5,18.5,23.0,458.0,117.0
Angola,2020-07-11,-12.5,18.5,23.0,462.0,118.0
Angola,2020-07-12,-12.5,18.5,26.0,506.0,118.0
Angola,2020-07-13,-12.5,18.5,26.0,525.0,118.0
Angola,2020-07-14,-12.5,18.5,26.0,541.0,118.0
Angola,2020-07-15,-12.5,18.5,27.0,576.0,124.0
